date,min,max,mid
2026-04-03 00:00:00,633.1502898184164,677.9172477464906,655.4422131165086
2026-04-04 00:00:00,624.5950290674763,686.1874407457537,655.0546384585718
2026-04-05 00:00:00,618.1631156110142,692.302651969062,654.4737061414397
2026-04-06 00:00:00,612.7027898247875,697.4402711417144,654.0867041789321
2026-04-07 00:00:00,607.8297470303684,702.2005475233835,653.6999310575799
2026-04-08 00:00:00,603.3522342005749,706.1574461938088,653.3133866420651
2026-04-09 00:00:00,599.4393146026647,710.1366419802692,652.9270707971497
2026-04-10 00:00:00,595.7279297724323,713.5049301601814,652.540983387676
2026-04-11 00:00:00,592.2146431372088,716.8891946530907,652.1551242785661
2026-04-12 00:00:00,588.8962141570053,720.0765197357371,651.7694933348218
2026-04-13 00:00:00,585.7695933452599,723.0641406144791,651.384090421525
2026-04-14 00:00:00,582.8319176000008,725.8494581499431,650.9989154038371
2026-04-15 00:00:00,579.9089745053988,728.6455050154033,650.8064133137311
2026-04-16 00:00:00,577.1713612645021,731.2360301673172,650.421579886809
2026-04-17 00:00:00,574.6165872837886,733.8357653130022,650.2292485163329
2026-04-18 00:00:00,572.0731216779021,736.2269745504577,649.8447563772381
2026-04-19 00:00:00,569.7093789523403,738.6259755607971,649.6525955749896
2026-04-20 00:00:00,567.3554029497044,741.0327937335694,649.2684444210527
2026-04-21 00:00:00,565.1782780170719,743.227615174973,649.0764540357641
2026-04-22 00:00:00,563.0095074121637,745.4289373288963,648.884520422537
2026-04-23 00:00:00,560.8490590767403,747.6367794494172,648.6926435645838
2026-04-24 00:00:00,558.8621580844123,749.8511608476412,648.5008234451217
2026-04-25 00:00:00,556.8822960190279,751.8497111951959,648.3090600473731
2026-04-26 00:00:00,555.0735846617332,753.853588204494,648.1173533545651
2026-04-27 00:00:00,553.107144247275,755.8628060724885,647.92570334993
2026-04-28 00:00:00,551.3106942959073,757.8773790339711,647.734110016705
2026-04-29 00:00:00,549.5200790773961,759.8973213616725,647.5425733381321
2026-04-30 00:00:00,547.8972943107713,761.6973448372107,647.3510932974582
2026-05-01 00:00:00,546.1177655558886,763.7274683773746,647.3510932974582
2026-05-02 00:00:00,544.5050281428804,765.5365645978077,647.1596698779357
